City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Upernavik,GL,72.7868,-56.1549,41.38,82,2,10.4,clear sky
182,Asau,RO,46.4333,26.4,73.76,74,24,5.97,light rain
183,Constitucion,CL,-35.3333,-72.4167,52.36,63,0,5.95,clear sky
184,Ambilobe,MG,-13.2,49.05,69.64,73,15,2.64,few clouds
185,Khatanga,RU,71.9667,102.5,71.94,46,87,5.5,overcast clouds
186,Ossora,RU,59.2353,163.0719,53.64,70,100,6.17,overcast clouds
187,Cabo San Lucas,MX,22.8909,-109.9124,87.51,77,17,5.99,few clouds
188,Huarmey,PE,-10.0681,-78.1522,64.58,85,50,7.85,scattered clouds
189,Narsaq,GL,60.9167,-46.05,57.42,98,100,2.73,moderate rain
190,Funtua,NG,11.5233,7.3081,67.93,96,100,8.81,light rain
191,Sao Filipe,CV,14.8961,-24.4956,75.25,76,16,0.89,few clouds
192,Mkushi,ZM,-13.6202,29.3939,50.05,93,11,4.07,few clouds
193,Carson City,US,39.1638,-119.7674,81.43,22,1,0.0,clear sky
194,Saldanha,ZA,-33.0117,17.9442,54.79,87,27,7.14,scattered clouds
195,Matay,EG,28.419,30.7792,81.64,39,3,7.23,clear sky
196,Sola,VU,-13.8833,167.55,76.03,60,80,14.12,broken clouds
197,Vanderhoof,CA,54.0166,-124.0198,74.26,49,92,6.02,overcast clouds
198,Bella Union,UY,-30.2752,-57.6007,46.22,83,0,6.76,clear sky
199,Bafq,IR,31.6128,55.4107,87.66,12,75,11.45,broken clouds
200,San Jose,US,37.3394,-121.895,67.71,67,20,10.36,few clouds
201,Ulaangom,MN,49.9811,92.0667,72.72,34,8,8.3,clear sky
202,Erenhot,CN,43.6475,111.9767,74.53,33,99,12.66,overcast clouds
203,Esperance,AU,-33.8667,121.9,56.14,63,100,16.46,overcast clouds
204,Katsuura,JP,35.1333,140.3,89.71,83,84,10.85,broken clouds
205,Soe,ID,-9.8607,124.284,83.39,40,33,10.13,scattered clouds
206,Port Augusta,AU,-32.5,137.7667,63.72,45,83,27.47,broken clouds
207,Erzin,TR,36.9559,36.2,79.52,62,0,0.29,clear sky
208,Dikson,RU,73.5069,80.5464,42.73,98,99,9.84,overcast clouds
209,Assiniboia,CA,49.6334,-105.9845,71.51,40,100,6.91,overcast clouds
210,Ostrovnoy,RU,68.0531,39.5131,54.73,73,33,10.16,scattered clouds
211,Sorland,NO,67.667,12.6934,49.19,76,100,14.38,overcast clouds
212,Port Blair,IN,11.6667,92.75,83.35,80,100,20.2,overcast clouds
213,Taoudenni,ML,22.6783,-3.9836,97.34,28,83,14.16,broken clouds
214,Alnashi,RU,56.1874,52.4792,70.66,59,89,8.93,overcast clouds
215,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,90,55,9.06,broken clouds
216,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,73.99,38,20,13.42,few clouds
217,Puerto Leguizamo,CO,-0.1934,-74.7819,68.41,91,100,2.13,overcast clouds
218,Atuona,PF,-9.8,-139.0333,77.43,68,18,11.48,few clouds
219,Port Hardy,CA,50.6996,-127.4199,60.98,82,75,5.75,broken clouds
220,Kitgum,UG,3.2783,32.8867,66.29,89,100,3.06,overcast clouds
221,Boa Vista,BR,2.8197,-60.6733,75.18,88,90,3.44,overcast clouds
222,Kuala Terengganu,MY,5.3302,103.1408,87.75,66,20,5.75,few clouds
223,Emmauss,RU,56.7805,36.115,64.38,75,99,3.06,overcast clouds
224,Bima,ID,-8.4667,118.7167,90.12,52,45,8.28,scattered clouds
225,Ngunguru,NZ,-35.6167,174.5,62.17,61,33,8.81,scattered clouds
226,Longyearbyen,SJ,78.2186,15.6401,44.44,76,40,10.36,scattered clouds
227,Grindavik,IS,63.8424,-22.4338,52.56,93,75,5.75,broken clouds
228,Hambantota,LK,6.1241,81.1185,85.23,66,77,19.17,broken clouds
229,Darovskoy,RU,58.77,47.9564,65.05,89,100,5.75,overcast clouds
230,Coihaique,CL,-45.5752,-72.0662,48.15,76,90,6.91,light rain
